legislatura,year,cargo,nombre,sexo
Constituyente,5/07/1977,Presidente del Gobierno,Adolfo Suárez González,Hombre
Constituyente,5/07/1977,Vicepresidente primero del Gobierno y ministro de Defensa,Manuel Gutiérrez Mellado,Hombre
Constituyente,5/07/1977,Vicepresidente segundo del Gobierno y ministro de Economía,Enrique Fuentes Quintana,Hombre
Constituyente,5/07/1977,Vicepresidente tercero del Gobierno,Fernando Abril Martorell,Hombre
Constituyente,5/07/1977,Ministro de Asuntos Exteriores,Marcelino Oreja Aguirre,Hombre
Constituyente,5/07/1977,Ministro de Justicia,Landelino Lavilla Alsina,Hombre
Constituyente,5/07/1977,Ministro de Hacienda,Francisco Fernández Ordóñez,Hombre
Constituyente,5/07/1977,Ministro del Interior,Rodolfo Martín Villa,Hombre
Constituyente,5/07/1977,Ministro de Obras Públicas y Urbanismo,Joaquín Garrigues Walker,Hombre
Constituyente,5/07/1977,Ministro de Educación y Ciencia,Íñigo Cavero Lataillade,Hombre
Constituyente,5/07/1977,Ministro de Trabajo,Manuel Jiménez de Parga Cabrera,Hombre
Constituyente,5/07/1977,Ministro de Industria y Energía,Alberto Oliart Saussol,Hombre
Constituyente,5/07/1977,Ministro de Agricultura,José Enrique Martínez Genique,Hombre
Constituyente,5/07/1977,Ministro de Comercio y Turismo,Juan Antonio García Díez,Hombre
Constituyente,5/07/1977,Ministro de la Presidencia del Gobierno,José Manuel Otero Novas,Hombre
Constituyente,5/07/1977,Ministro de Transportes y Comunicaciones,José Lladó y Fernández Urrutia,Hombre
Constituyente,5/07/1977,Ministro de Sanidad y Seguridad Social,Enrique Sánchez de León Pérez,Hombre
Constituyente,5/07/1977,Ministro de Cultura y Bienestar,Pío Cabanillas Gallas,Hombre
Constituyente,5/07/1977,Ministro adjunto para las Regiones,Manuel Clavero Arévalo,Hombre
Constituyente,5/07/1977,Ministro adjunto para las Relaciones con las Cortes,Ignacio Camuñas,Hombre
Constituyente,25/02/1978,Presidente del Gobierno,Adolfo Suárez González,Hombre
Constituyente,25/02/1978,Vicepresidente primero del Gobierno y Ministro de Defensa,Manuel Gutiérrez Mellado,Hombre
Constituyente,25/02/1978,Vicepresidente segundo del Gobierno y Ministro de Economía,Fernando Abril Martorell,Hombre
Constituyente,25/02/1978,Ministro de Asuntos Exteriores,Marcelino Oreja Aguirre,Hombre
Constituyente,25/02/1978,Ministro de Justicia,Landelino Lavilla Alsina,Hombre
Constituyente,25/02/1978,Ministro de Hacienda,Francisco Fernández Ordóñez,Hombre
Constituyente,25/02/1978,Ministro del Interior,Rodolfo Martín Villa,Hombre
Constituyente,25/02/1978,Ministro de Obras Públicas y Urbanismo,Joaquín Garrigues Walker,Hombre
Constituyente,25/02/1978,Ministro de Educación y Ciencia,Íñigo Cavero Lataillade,Hombre
Constituyente,25/02/1978,Ministro de Trabajo,Rafael Calvo Ortega,Hombre
Constituyente,25/02/1978,Ministro de Industria y Energía,Agustín Rodríguez Sahagún,Hombre
Constituyente,25/02/1978,Ministro de Agricultura,Jaime Lamo de Espinosa y Michels de Champourcin,Hombre
Constituyente,25/02/1978,Ministro de Comercio y Turismo,Juan Antonio García Díez,Hombre
Constituyente,25/02/1978,Ministro de la Presidencia del Gobierno,José Manuel Otero Novas,Hombre
Constituyente,25/02/1978,Ministro de Transportes y Comunicaciones,Salvador Sánchez-Terán Hernández,Hombre
Constituyente,25/02/1978,Ministro de Sanidad y Seguridad Social,Enrique Sánchez de León Pérez,Hombre
Constituyente,25/02/1978,Ministro de Cultura,Pío Cabanillas Gallas,Hombre
Constituyente,25/02/1978,Ministro adjunto para las Regiones,Manuel Clavero Arévalo,Hombre
Constituyente,25/02/1978,Ministro de Relaciones con las Comunidades Europeas,Leopoldo Calvo-Sotelo y Bustelo,Hombre
Primera,6/04/1979,Presidente del Gobierno,Adolfo Suárez González,Hombre
Primera,6/04/1979,Vicepresidente primero del Gobierno y Encargado de asuntos de la Seguridad y Defensa Nacional,Manuel Gutiérrez Mellado,Hombre
Primera,6/04/1979,Vicepresidente segundo del Gobierno y encargado de la coordinación de los asuntos económicos,Fernando Abril Martorell,Hombre
Primera,6/04/1979,Ministro de Asuntos Exteriores,Marcelino Oreja Aguirre,Hombre
Primera,6/04/1979,Ministro de Justicia,Iñigo Cavero Lataillade,Hombre
Primera,6/04/1979,Ministro de Defensa,Agustín Rodríguez Sahagún,Hombre
Primera,6/04/1979,Ministro de Hacienda,Jaime García Añoveros,Hombre
Primera,6/04/1979,Ministro de Interior,Antonio Ibáñez Freire,Hombre
Primera,6/04/1979,Ministro de Obras Públicas y Urbanismo,Jesús Sancho Rof,Hombre
Primera,6/04/1979,Ministro de Educación,José Manuel Otero Novas,Hombre
Primera,6/04/1979,Ministro de Trabajo,Rafael Calvo Ortega,Hombre
Primera,6/04/1979,Ministro de Industria y Energía,Carlos Bustelo y García del Real,Hombre
Primera,6/04/1979,Ministro de Agricultura,Jaime Lamo de Espinosa y Michels de Champourcín,Hombre
Primera,6/04/1979,Ministro de Comercio y Turismo,Juan Antonio García Díez,Hombre
Primera,6/04/1979,Ministro de Presidencia,José Pedro Pérez-Llorca Rodrigo,Hombre
Primera,6/04/1979,Ministro de Economía,José Luis Leal Maldonado,Hombre
Primera,6/04/1979,Ministro de Transportes y Comunicaciones,Salvador Sánchez-Terán Hernández,Hombre
Primera,6/04/1979,Ministro de Sanidad y Seguridad Social,Juan Rovira Tarazona,Hombre
Primera,6/04/1979,Ministro de Cultura,Manuel Clavero Arévalo,Hombre
Primera,6/04/1979,"Ministro adjunto al presidente, sin cartera",Joaquín Garrigues Walker,Hombre
Primera,6/04/1979,"Ministro para las Relaciones con las Comunidades Europeas, sin cartera",Leopoldo Calvo-Sotelo y Bustelo,Hombre
Primera,6/04/1979,"Ministro adjunto para las Relaciones con las Cortes, sin cartera",Rafael Arias-Salgado y Montalvo,Hombre
Primera,6/04/1979,Ministro de Administración Territorial,Antonio Fontán Pérez,Hombre
Primera,6/04/1979,Ministro de Universidades e Investigación,Luis González Seara,Hombre
Primera,18/01/1980,Presidente del Gobierno,Adolfo Suárez González,Hombre
Primera,18/01/1980,Vicepresidente primero del Gobierno y encargado de asuntos de la Seguridad y Defensa Nacional,Manuel Gutiérrez Mellado,Hombre
Primera,18/01/1980,Vicepresidente segundo del Gobierno y encargado de la coordinación de los asuntos económicos,Fernando Abril Martorell,Hombre
Primera,18/01/1980,Ministro de Asuntos Exteriores,Marcelino Oreja Aguirre,Hombre
Primera,18/01/1980,Ministro de Justicia,Iñigo Cavero Lataillade,Hombre
Primera,18/01/1980,Ministro de Defensa,Agustín Rodríguez Sahagún,Hombre
Primera,18/01/1980,Ministro de Hacienda,Jaime García Añoveros,Hombre
Primera,18/01/1980,Ministro de Interior,Antonio Ibáñez Freire,Hombre
Primera,18/01/1980,Ministro de Obras Públicas y Urbanismo,Jesús Sancho Rof,Hombre
Primera,18/01/1980,Ministro de Educación,José Manuel Otero Novas,Hombre
Primera,18/01/1980,Ministro de Trabajo,Rafael Calvo Ortega,Hombre
Primera,18/01/1980,Ministro de Industria y Energía,Carlos Bustelo y García del Real,Hombre
Primera,18/01/1980,Ministro de Agricultura,Jaime Lamo de Espinosa y Michels de Champourcín,Hombre
Primera,18/01/1980,Ministro de Comercio y Turismo,Juan Antonio García Díez,Hombre
Primera,18/01/1980,Ministro de Presidencia,José Pedro Pérez-Llorca Rodrigo,Hombre
Primera,18/01/1980,Ministro de Economía,José Luis Leal Maldonado,Hombre
Primera,18/01/1980,Ministro de Transportes y Comunicaciones,Salvador Sánchez-Terán Hernández,Hombre
Primera,18/01/1980,Ministro de Sanidad y Seguridad Social,Juan Rovira Tarazona,Hombre
Primera,18/01/1980,Ministro de Cultura,Ricardo de la Cierva y Hoces,Hombre
Primera,18/01/1980,"Ministro adjunto al presidente, sin cartera, coordinador de Asuntos Políticos",Rafael Arias-Salgado y Montalvo,Hombre
Primera,18/01/1980,"Ministro adjunto al presidente, sin cartera",Joaquín Garrigues Walker,Hombre
Primera,18/01/1980,"Ministro para las Relaciones con las Comunidades Europeas, sin cartera",Leopoldo Calvo-Sotelo y Bustelo,Hombre
Primera,18/01/1980,Ministro de Administración Territorial,Antonio Fontán Pérez,Hombre
Primera,18/01/1980,Ministro de Universidades e Investigación,Luis González Seara,Hombre
Primera,3/05/1980,Presidente del Gobierno,Adolfo Suárez González,Hombre
Primera,3/05/1980,Vicepresidente primero del Gobierno y encargado de asuntos de la Seguridad y Defensa Nacional,Manuel Gutiérrez Mellado,Hombre
Primera,3/05/1980,Vicepresidente segundo del Gobierno y encargado de la coordinación de los asuntos económicos,Fernando Abril Martorell,Hombre
Primera,3/05/1980,Ministro de Asuntos Exteriores,Marcelino Oreja Aguirre,Hombre
Primera,3/05/1980,Ministro de Justicia,Iñigo Cavero Lataillade,Hombre
Primera,3/05/1980,Ministro de Defensa,Agustín Rodríguez Sahagún,Hombre
Primera,3/05/1980,Ministro de Hacienda,Jaime García Añoveros,Hombre
Primera,3/05/1980,Ministro de Interior,Juan José Rosón Pérez,Hombre
Primera,3/05/1980,Ministro de Obras Públicas y Urbanismo,Jesús Sancho Rof,Hombre
Primera,3/05/1980,Ministro de Educación,José Manuel Otero Novas,Hombre
Primera,3/05/1980,Ministro de Trabajo,Salvador Sánchez-Terán Hernández,Hombre
Primera,3/05/1980,Ministro de Industria y Energía,Ignacio Bayón Mariné,Hombre
Primera,3/05/1980,Ministro de Agricultura,Jaime Lamo de Espinosa y Michels de Champourcín,Hombre
Primera,3/05/1980,Ministro de Comercio y Turismo,Luis Gamir Casares,Hombre
Primera,3/05/1980,Ministro de Presidencia,Rafael Arias-Salgado y Montalvo,Hombre
Primera,3/05/1980,Ministro de Economía,José Luis Leal Maldonado,Hombre
Primera,3/05/1980,Ministro de Transportes y Comunicaciones,José Luis Álvarez Álvarez,Hombre
Primera,3/05/1980,Ministro de Sanidad y Seguridad Social,Juan Rovira Tarazona,Hombre
Primera,3/05/1980,Ministro de Cultura,Ricardo de la Cierva y Hoces,Hombre
Primera,3/05/1980,"Ministro para las Relaciones con las Comunidades Europeas, sin cartera",Leopoldo Calvo-Sotelo y Bustelo,Hombre
Primera,3/05/1980,Ministro de Administración Territorial,José Pedro Pérez-Llorca y Rodrigo,Hombre
Primera,3/05/1980,"Ministro Adjunto al presidente, sin cartera, encargado de la Administración Pública",Sebastián Martín-Retortillo y Baquer,Hombre
Primera,3/05/1980,"Ministro Adjunto al Presidente, sin cartera, encargado de la coordinación legislativa",Juan Antonio Ortega y Díaz Ambrona,Hombre
Primera,3/05/1980,Ministro de Universidades e Investigación,Luis González Seara,Hombre
Primera,9/09/1980,Presidente del Gobierno,Adolfo Suárez González,Hombre
Primera,9/09/1980,Vicepresidente primero del Gobierno y encargado de asuntos de la Seguridad y Defensa Nacional,Manuel Gutiérrez Mellado,Hombre
Primera,9/09/1980,Vicepresidente segundo del Gobierno y encargado de la coordinación de los asuntos económicos,Leopoldo Calvo-Sotelo y Bustelo,Hombre
Primera,9/09/1980,Ministro de Asuntos Exteriores,José Pedro Pérez-Llorca y Rodrigo,Hombre
Primera,9/09/1980,Ministro de Justicia,Francisco Fernández Ordoñez,Hombre
Primera,9/09/1980,Ministro de Defensa,Agustín Rodríguez Sahagún,Hombre
Primera,9/09/1980,Ministro de Hacienda,Jaime García Añoveros,Hombre
Primera,9/09/1980,Ministro de Interior,Juan José Rosón Pérez,Hombre
Primera,9/09/1980,Ministro de Obras Públicas y Urbanismo,Jesús Sancho Rof,Hombre
Primera,9/09/1980,Ministro de Educación,Juan Antonio Ortega y Díaz Ambrona,Hombre
Primera,9/09/1980,Ministro de Trabajo,Félix Manuel Pérez Miyares,Hombre
Primera,9/09/1980,Ministro de Industria y Energía,Ignacio Bayón Mariné,Hombre
Primera,9/09/1980,Ministro de Agricultura,Jaime Lamo de Espinosa y Michels de Champourcín,Hombre
Primera,9/09/1980,Ministro de Economía y Comercio,Juan Antonio García Diaz,Hombre
Primera,9/09/1980,Ministro de Presidencia,Rafael Arias-Salgado y Montalvo,Hombre
Primera,9/09/1980,Ministro de Transportes y Comunicaciones,José Luis Álvarez Álvarez,Hombre
Primera,9/09/1980,Ministro de Sanidad y Seguridad Social,Alberto Oliart Saussol,Hombre
Primera,9/09/1980,Ministro de Cultura,Íñigo Cavero Lataillade,Hombre
Primera,9/09/1980,"Ministro Adjunto al Presidente, sin cartera",Pío Cabanillas Gallas,Hombre
Primera,9/09/1980,"Ministro para las Relaciones con las Comunidades Europeas, sin cartera",Eduardo Punset Casals,Hombre
Primera,9/09/1980,Ministro de Administración Territorial,Rodolfo Martín Villa,Hombre
Primera,9/09/1980,"Ministro Adjunto al presidente, sin cartera, encargado de la Administración Pública",Sebastián Martín-Retortillo y Baquer,Hombre
Primera,9/09/1980,Ministro de Universidades e Investigación,Luis González Seara,Hombre
Primera,27/02/1981,Presidente del Gobierno,Leopoldo Calvo-Sotelo y Bustelo,Hombre
Primera,27/02/1981,Ministro de Asuntos Exteriores,José Pedro Pérez-Llorca y Rodrigo,Hombre
Primera,27/02/1981,Ministro de Justicia,Francisco Fernández Ordoñez,Hombre
Primera,27/02/1981,Ministro de Defensa,Alberto Oliart Saussol,Hombre
Primera,27/02/1981,Ministro de Hacienda,Jaime García Añoveros,Hombre
Primera,27/02/1981,Ministro de Interior,Juan José Rosón Pérez,Hombre
Primera,27/02/1981,Ministro de Obras Públicas y Urbanismo,Luis Ortiz González,Hombre
Primera,27/02/1981,Ministro de Educación y de Universidades e Investigación,Juan Antonio Ortega y Díaz Ambrona,Hombre
Primera,27/02/1981,Ministro de Trabajo y de Sanidad y Seguridad Social,Jesús Sancho Rof,Hombre
Primera,27/02/1981,Ministro de Industria y Energía,Ignacio Bayón Mariné,Hombre
Primera,27/02/1981,Ministro de Agricultura,Jaime Lamo de Espinosa y Michels de Champourcín,Hombre
Primera,27/02/1981,Ministro de Economía y Comercio y vicepresidente de la Comisión Delegada para Asuntos Económicos,Juan Antonio García Diaz,Hombre
Primera,27/02/1981,Ministro de Presidencia,Pío Cabanillas Gallas,Hombre
Primera,27/02/1981,Ministro de Transportes y Comunicaciones,José Luis Álvarez Álvarez,Hombre
Primera,27/02/1981,Ministro de Administración Territorial y vicepresidente de la Comisión Delegada para la Política Autonómica,Rodolfo Martín Villa,Hombre
Primera,27/02/1981,Ministro de Cultura,Iñigo Cavero Lataillade,Hombre
Primera,1/09/1981,Presidente del Gobierno,Leopoldo Calvo-Sotelo y Bustelo,Hombre
Primera,1/09/1981,Ministro de Asuntos Exteriores,José Pedro Pérez-Llorca y Rodrigo,Hombre
Primera,1/09/1981,Ministro de Justicia,Pío Cabanillas Gallas,Hombre
Primera,1/09/1981,Ministro de Defensa,Alberto Oliart Saussol,Hombre
Primera,1/09/1981,Ministro de Hacienda,Jaime García Añoveros,Hombre
Primera,1/09/1981,Ministro de Interior,Juan José Rosón Pérez,Hombre
Primera,1/09/1981,Ministro de Obras Públicas y Urbanismo,Luis Ortiz González,Hombre
Primera,1/09/1981,Ministro de Educación y de Universidades e Investigación,Juan Antonio Ortega y Díaz Ambrona,Hombre
Primera,1/09/1981,Ministro de Trabajo y de Sanidad y Seguridad Social,Jesús Sancho Rof,Hombre
Primera,1/09/1981,Ministro de Industria y Energía,Ignacio Bayón Mariné,Hombre
Primera,1/09/1981,Ministro de Agricultura,Jaime Lamo de Espinosa y Michels de Champourcín,Hombre
Primera,1/09/1981,Ministro de Economía y Comercio y vicepresidente de la Comisión Delegada para Asuntos Económicos,Juan Antonio García Diaz,Hombre
Primera,1/09/1981,Ministro de Presidencia,Matías Rodríguez Inciarte,Hombre
Primera,1/09/1981,Ministro de Transportes y Comunicaciones,José Luis Álvarez Álvarez,Hombre
Primera,1/09/1981,Ministro de Administración Territorial y vicepresidente de la Comisión Delegada para la Política Autonómica,Rodolfo Martín Villa,Hombre
Primera,1/09/1981,Ministro de Cultura,Iñigo Cavero Lataillade,Hombre
Primera,2/12/1981,Presidente del Gobierno,Leopoldo Calvo-Sotelo y Bustelo,Hombre
Primera,2/12/1981,Vicepresidente primero del Gobierno,Rodolfo Martín Villa,Hombre
Primera,2/12/1981,Vicepresidente segundo del Gobierno y ministro de Economía y Comercio,Juan Antonio García Diaz,Hombre
Primera,2/12/1981,Ministro de Asuntos Exteriores,José Pedro Pérez-Llorca y Rodrigo,Hombre
Primera,2/12/1981,Ministro de Justicia,Pío Cabanillas Gallas,Hombre
Primera,2/12/1981,Ministro de Defensa,Alberto Oliart Saussol,Hombre
Primera,2/12/1981,Ministro de Hacienda,Jaime García Añoveros,Hombre
Primera,2/12/1981,Ministro de Interior,Juan José Rosón Pérez,Hombre
Primera,2/12/1981,Ministro de Obras Públicas y Urbanismo,Luis Ortiz González,Hombre
Primera,2/12/1981,Ministro de Educación y Ciencia,Federico Mayor Zaragoza,Hombre
Primera,2/12/1981,Ministro de Trabajo y Seguridad Social,Santiago Rodríguez Miranda,Hombre
Primera,2/12/1981,Ministro de Industria y Energía,Ignacio Bayón Mariné,Hombre
Primera,2/12/1981,"Ministro de Agricultura, Pesca y Alimentación",José Luis Álvarez Álvare z,Hombre
Primera,2/12/1981,Ministro de Presidencia,Matías Rodríguez Inciarte,Hombre
Primera,2/12/1981,"Ministro de Transportes, Turismo y Comunicaciones",Luis Gámir Casares,Hombre
Primera,2/12/1981,Ministro de Administración Territorial,Rafael Arias-Salgado y Montalvo,Hombre
Primera,2/12/1981,Ministra de Cultura,Soledad Becerril Bustamante,Mujer
Primera,2/12/1981,Ministro de Sanidad y Consumo,Manuel Núñez Pérez,Hombre
Primera,2/12/1981,"Ministro adjunto al presidente, sin cartera",Jaime Lamo de Espinosa y Michels de Champourcín,Hombre
Primera,30/07/1982,Presidente del Gobierno,Leopoldo Calvo-Sotelo y Bustelo,Hombre
Primera,30/07/1982,Vicepresidente del Gobierno para Asuntos Económicos y ministro de Economía y Comercio,Juan Antonio García Díaz,Hombre
Primera,30/07/1982,Ministro de Asuntos Exteriores,José Pedro Pérez-Llorca y Rodrigo,Hombre
Primera,30/07/1982,Ministro de Justicia,Pío Cabanillas Gallas,Hombre
Primera,30/07/1982,Ministro de Defensa,Alberto Oliart Saussol,Hombre
Primera,30/07/1982,Ministro de Hacienda,Jaime García Añoveros,Hombre
Primera,30/07/1982,Ministro de Interior,Juan José Rosón Pérez,Hombre
Primera,30/07/1982,Ministro de Obras Públicas y Urbanismo,Luis Ortiz González,Hombre
Primera,30/07/1982,Ministro de Educación y Ciencia,Federico Mayor Zaragoza,Hombre
Primera,30/07/1982,Ministro de Trabajo y Seguridad Social,Santiago Rodríguez Miranda,Hombre
Primera,30/07/1982,Ministro de Industria y Energía,Ignacio Bayón Mariné,Hombre
Primera,30/07/1982,"Ministro de Agricultura, Pesca y Alimentación",José Luis Álvarez Álvarez,Hombre
Primera,30/07/1982,Ministro de Presidencia,Matías Rodríguez Inciarte,Hombre
Primera,30/07/1982,"Ministro de Transportes, Turismo y Comunicaciones",Luis Gámir Casares,Hombre
Primera,30/07/1982,Ministra de Cultura,Soledad Becerril Bustamante,Mujer
Primera,30/07/1982,Ministro de Administración Territorial,Luis Manuel Cosculluela Montaner,Hombre
Primera,30/07/1982,Ministro de Sanidad y Consumo,Manuel Núñez Pérez,Hombre
Primera,13/09/1982,Presidente del Gobierno,Leopoldo Calvo-Sotelo y Bustelo,Hombre
Primera,13/09/1982,Vicepresidente del Gobierno para asuntos Económicos y ministro de Economía y Comercio,Juan Antonio García Diaz,Hombre
Primera,13/09/1982,Ministro de Asuntos Exteriores,José Pedro Pérez-Llorca y Rodrigo,Hombre
Primera,13/09/1982,Ministro de Justicia,Pío Cabanillas Gallas,Hombre
